date,name,category,value
2020-07-06,ETH,DeFi,227.63
2020-07-06,LINK,Link,4.75
2020-07-06,LTC,Ltc,41.59
2020-07-07,BNB,CeFi,16.315
2020-07-07,ETH,DeFi,241.83
2020-07-07,LINK,Link,5.362
2020-07-07,LTC,Ltc,44.09
2020-07-08,BNB,CeFi,16.785
2020-07-08,ETH,DeFi,239.41
2020-07-08,LINK,Link,5.7225
2020-07-08,LTC,Ltc,43.395
2020-07-09,BNB,CeFi,17.264
2020-07-09,ETH,DeFi,247.03
2020-07-09,LINK,Link,6.499
2020-07-09,LTC,Ltc,45.31
2020-07-10,BNB,CeFi,16.82
2020-07-10,ETH,DeFi,242.04
2020-07-10,LINK,Link,6.082
2020-07-10,LTC,Ltc,44.365
2020-07-11,BNB,CeFi,17.297
2020-07-11,ETH,DeFi,241.3
2020-07-11,LINK,Link,6.146
2020-07-11,LTC,Ltc,44.32
2020-07-12,BNB,CeFi,17.626
2020-07-12,ETH,DeFi,239.21
2020-07-12,LINK,Link,6.102
2020-07-12,LTC,Ltc,44.68
2020-07-13,BNB,CeFi,18.287
2020-07-13,ETH,DeFi,242.94
2020-07-13,LINK,Link,7.345
2020-07-13,LTC,Ltc,44.73
2020-07-14,BNB,CeFi,18.41
2020-07-14,ETH,DeFi,239.45
2020-07-14,LINK,Link,7.1635
2020-07-14,LTC,Ltc,43.925
2020-07-15,BNB,CeFi,18.085
2020-07-15,ETH,DeFi,240.47
2020-07-15,LINK,Link,8.1245
2020-07-15,LTC,Ltc,43.895
2020-07-16,BNB,CeFi,17.613
2020-07-16,ETH,DeFi,238.61
2020-07-16,LINK,Link,8.6445
2020-07-16,LTC,Ltc,43.36
2020-07-17,BNB,CeFi,17.157
2020-07-17,ETH,DeFi,233.59
2020-07-17,LINK,Link,8.3485
2020-07-17,LTC,Ltc,42.105
2020-07-18,BNB,CeFi,17.078
2020-07-18,ETH,DeFi,232.7
2020-07-18,LINK,Link,8.269
2020-07-18,LTC,Ltc,41.905
2020-07-19,BNB,CeFi,17.15
2020-07-19,ETH,DeFi,235.74
2020-07-19,LINK,Link,7.978
2020-07-19,LTC,Ltc,42.475
2020-07-20,BNB,CeFi,18.01
2020-07-20,ETH,DeFi,239.16
2020-07-20,LINK,Link,8.0775
2020-07-20,LTC,Ltc,42.665
2020-07-21,BNB,CeFi,17.478
2020-07-21,ETH,DeFi,236.08
2020-07-21,LINK,Link,7.236
2020-07-21,LTC,Ltc,41.98
2020-07-22,BNB,CeFi,17.718
2020-07-22,ETH,DeFi,245.64
2020-07-22,LINK,Link,7.3025
2020-07-22,LTC,Ltc,43.77
2020-07-23,BNB,CeFi,18.09
2020-07-23,ETH,DeFi,263.96
2020-07-23,LINK,Link,7.473
2020-07-23,LTC,Ltc,44.96
2020-07-24,BNB,CeFi,18.754
2020-07-24,ETH,DeFi,275.45
2020-07-24,LINK,Link,7.9015
2020-07-24,LTC,Ltc,44.915
2020-07-25,BNB,CeFi,19.182
2020-07-25,ETH,DeFi,279.29
2020-07-25,LINK,Link,7.426
2020-07-25,LTC,Ltc,44.13
2020-07-26,BNB,CeFi,19.818
2020-07-26,ETH,DeFi,305.35
2020-07-26,LINK,Link,7.668
2020-07-26,LTC,Ltc,49.13
2020-07-27,BNB,CeFi,19.553
2020-07-27,ETH,DeFi,311.06
2020-07-27,LINK,Link,7.4965
2020-07-27,LTC,Ltc,48.115
2020-07-28,BNB,CeFi,19.753
2020-07-28,ETH,DeFi,322.2
2020-07-28,LINK,Link,7.0865
2020-07-28,LTC,Ltc,53.25
2020-07-29,BNB,CeFi,20.171
2020-07-29,ETH,DeFi,316.94
2020-07-29,LINK,Link,7.223
2020-07-29,LTC,Ltc,55.74
2020-07-30,BNB,CeFi,19.888
2020-07-30,ETH,DeFi,317.91
2020-07-30,LINK,Link,7.081
2020-07-30,LTC,Ltc,55.2
2020-07-31,BNB,CeFi,19.983
2020-07-31,ETH,DeFi,334.89
2020-07-31,LINK,Link,7.425
2020-07-31,LTC,Ltc,56.67
2020-08-01,BNB,CeFi,20.654
2020-08-01,ETH,DeFi,346.39
2020-08-01,LINK,Link,7.7925
2020-08-01,LTC,Ltc,58.155
2020-08-02,BNB,CeFi,21.622
2020-08-02,ETH,DeFi,387.12
2020-08-02,LINK,Link,8.322
2020-08-02,LTC,Ltc,61.69
2020-08-03,BNB,CeFi,20.959
2020-08-03,ETH,DeFi,372.06
2020-08-03,LINK,Link,8.264
2020-08-03,LTC,Ltc,56.8
2020-08-04,BNB,CeFi,22.044
2020-08-04,ETH,DeFi,385.96
2020-08-04,LINK,Link,9.2375
2020-08-04,LTC,Ltc,58.54
2020-08-05,BNB,CeFi,22.296
2020-08-05,ETH,DeFi,389.75
2020-08-05,LINK,Link,9.8485
2020-08-05,LTC,Ltc,57.645
2020-08-06,BNB,CeFi,23.267
2020-08-06,ETH,DeFi,400.81
2020-08-06,LINK,Link,9.5405
2020-08-06,LTC,Ltc,58.8
2020-08-07,BNB,CeFi,22.732
2020-08-07,ETH,DeFi,394.98
2020-08-07,LINK,Link,10.212
2020-08-07,LTC,Ltc,59.03
2020-08-08,BNB,CeFi,22.311
2020-08-08,ETH,DeFi,379.25
2020-08-08,LINK,Link,10.1095
2020-08-08,LTC,Ltc,57.125
2020-08-09,BNB,CeFi,22.905
2020-08-09,ETH,DeFi,397.08
2020-08-09,LINK,Link,12.721
2020-08-09,LTC,Ltc,58.47
2020-08-10,BNB,CeFi,22.419
2020-08-10,ETH,DeFi,390.22
2020-08-10,LINK,Link,13.8075
2020-08-10,LTC,Ltc,56.985
2020-08-11,BNB,CeFi,22.617
2020-08-11,ETH,DeFi,395.58
2020-08-11,LINK,Link,13.46
2020-08-11,LTC,Ltc,58.305
2020-08-12,BNB,CeFi,21.288
2020-08-12,ETH,DeFi,378.96
2020-08-12,LINK,Link,13.011
2020-08-12,LTC,Ltc,54.11
2020-08-13,BNB,CeFi,21.489
2020-08-13,ETH,DeFi,387.19
2020-08-13,LINK,Link,16.49
2020-08-13,LTC,Ltc,54.55
2020-08-14,BNB,CeFi,21.78
2020-08-14,ETH,DeFi,424.66
2020-08-14,LINK,Link,17.1685
2020-08-14,LTC,Ltc,57.08
2020-08-15,BNB,CeFi,23.098
