date,name,category,value
2021-05-02,LTC,Ltc,276.665
2021-05-03,BNB,CeFi,622.199
2021-05-03,ETH,DeFi,2950.1
2021-05-03,LINK,Link,39.435
2021-05-03,LTC,Ltc,268.875
2021-05-04,BNB,CeFi,675.773
2021-05-04,ETH,DeFi,3429.6
2021-05-04,LINK,Link,42.0375
2021-05-04,LTC,Ltc,294.35
2021-05-05,BNB,CeFi,609.887
2021-05-05,ETH,DeFi,3238.5
2021-05-05,LINK,Link,45.5875
2021-05-05,LTC,Ltc,305.245
2021-05-06,BNB,CeFi,651.0
2021-05-06,ETH,DeFi,3524.4
2021-05-06,LINK,Link,49.5665
2021-05-06,LTC,Ltc,356.015
2021-05-07,BNB,CeFi,633.728
2021-05-07,ETH,DeFi,3489.1
2021-05-07,LINK,Link,47.175
2021-05-07,LTC,Ltc,354.3
2021-05-08,BNB,CeFi,624.601
2021-05-08,ETH,DeFi,3480.7
2021-05-08,LINK,Link,49.15
2021-05-08,LTC,Ltc,344.855
2021-05-09,BNB,CeFi,645.923
2021-05-09,ETH,DeFi,3910.9
2021-05-09,LINK,Link,48.625
2021-05-09,LTC,Ltc,347.115
2021-05-10,BNB,CeFi,661.505
2021-05-10,ETH,DeFi,3925.0
2021-05-10,LINK,Link,52.27
2021-05-10,LTC,Ltc,387.685
2021-05-11,BNB,CeFi,631.345
2021-05-11,ETH,DeFi,3946.2
2021-05-11,LINK,Link,46.374
2021-05-11,LTC,Ltc,358.865
2021-05-12,BNB,CeFi,671.974
2021-05-12,ETH,DeFi,4174.0
2021-05-12,LINK,Link,48.7495
2021-05-12,LTC,Ltc,377.675
2021-05-13,BNB,CeFi,594.838
2021-05-13,ETH,DeFi,3824.4
2021-05-13,LINK,Link,41.5065
2021-05-13,LTC,Ltc,310.4
2021-05-14,BNB,CeFi,571.182
2021-05-14,ETH,DeFi,3719.3
2021-05-14,LINK,Link,43.235
2021-05-14,LTC,Ltc,317.715
2021-05-15,BNB,CeFi,602.961
2021-05-15,ETH,DeFi,4077.2
2021-05-15,LINK,Link,46.599
2021-05-15,LTC,Ltc,326.48
2021-05-16,BNB,CeFi,563.136
2021-05-16,ETH,DeFi,3647.3
2021-05-16,LINK,Link,41.45
2021-05-16,LTC,Ltc,300.11
2021-05-17,BNB,CeFi,563.932
2021-05-17,ETH,DeFi,3581.3
2021-05-17,LINK,Link,40.6785
2021-05-17,LTC,Ltc,295.95
2021-05-18,BNB,CeFi,512.484
2021-05-18,ETH,DeFi,3281.9
2021-05-18,LINK,Link,37.1885
2021-05-18,LTC,Ltc,281.7
2021-05-19,BNB,CeFi,508.2
2021-05-19,ETH,DeFi,3373.9
2021-05-19,LINK,Link,42.567
2021-05-19,LTC,Ltc,293.855
2021-05-20,BNB,CeFi,334.918
2021-05-20,ETH,DeFi,2442.5
2021-05-20,LINK,Link,26.2375
2021-05-20,LTC,Ltc,185.675
2021-05-21,BNB,CeFi,391.084
2021-05-21,ETH,DeFi,2768.6
2021-05-21,LINK,Link,30.615
2021-05-21,LTC,Ltc,210.95
2021-05-22,BNB,CeFi,326.185
2021-05-22,ETH,DeFi,2431.6
2021-05-22,LINK,Link,25.553
2021-05-22,LTC,Ltc,179.92
2021-05-23,BNB,CeFi,299.456
2021-05-23,ETH,DeFi,2294.2
2021-05-23,LINK,Link,23.288
2021-05-23,LTC,Ltc,169.17
2021-05-24,BNB,CeFi,260.731
2021-05-24,ETH,DeFi,2096.9
2021-05-24,LINK,Link,19.833
2021-05-24,LTC,Ltc,142.46
2021-05-25,BNB,CeFi,345.569
2021-05-25,ETH,DeFi,2648.2
2021-05-25,LINK,Link,26.3975
2021-05-25,LTC,Ltc,185.1
2021-05-26,BNB,CeFi,343.158
2021-05-26,ETH,DeFi,2704.2
2021-05-26,LINK,Link,27.512
2021-05-26,LTC,Ltc,183.95
2021-05-27,BNB,CeFi,379.092
2021-05-27,ETH,DeFi,2885.5
2021-05-27,LINK,Link,33.994
2021-05-27,LTC,Ltc,198.98
2021-05-28,BNB,CeFi,369.696
2021-05-28,ETH,DeFi,2742.8
2021-05-28,LINK,Link,31.725
2021-05-28,LTC,Ltc,194.12
2021-05-29,BNB,CeFi,329.051
2021-05-29,ETH,DeFi,2412.5
2021-05-29,LINK,Link,27.86
2021-05-29,LTC,Ltc,177.41
2021-05-30,BNB,CeFi,305.014
2021-05-30,ETH,DeFi,2278.3
2021-05-30,LINK,Link,25.3475
2021-05-30,LTC,Ltc,163.86
2021-05-31,BNB,CeFi,325.621
2021-05-31,ETH,DeFi,2386.6
2021-05-31,LINK,Link,26.821
2021-05-31,LTC,Ltc,170.55
